,N,Shamir秘密分享,RSA加密,环签名,RSA解密
0,20,0.0000000 ,0.0000000 ,14.0384624,0.601504803
1,22,0.0010247 ,0.0000000 ,17.45030189,0.746160984
2,24,0.0000000 ,0.0009639 ,28.72313476,0.918795109
3,26,0.0000000 ,0.0010245 ,25.20469069,1.075767279
4,28,0.0000000 ,0.0010262 ,29.81820798,1.307799578
5,30,0.0009973 ,0.0000000 ,32.0572505,1.409203291
6,32,0.0000000 ,0.0009975 ,39.27020764,1.581727982
7,34,0.0000000 ,0.0009964 ,41.88292742,1.78884244
8,36,0.0009949 ,0.0009944 ,47.37142301,2.040290356
9,38,0.0000000 ,0.0009975 ,53.69231582,2.34132576
10,40,0.0000000 ,0.0009973 ,56.16270518,2.471105337
11,42,0.0009997 ,0.0009971 ,63.24681854,2.708163261
12,44,0.0009923 ,0.0009975 ,72.74180579,3.116686106
13,46,0.0010056 ,0.0009971 ,78.30071497,3.41462183
14,48,0.0009704 ,0.0009968 ,89.71951461,3.744053364
15,50,0.0000000 ,0.0009973 ,90.14115095,3.912529469
16,52,0.0009980 ,0.0012770 ,97.28034091,4.267085791
17,54,0.0000000 ,0.0019922 ,105.8298402,4.653606176
18,56,0.0010004 ,0.0010002 ,115.5885346,5.052115917
19,58,0.0009973 ,0.0009973 ,126.7773595,5.474067211
20,60,0.0000000 ,0.0019953 ,127.9242227,5.662367344
21,62,0.0000000 ,0.0019941 ,139.547857,6.03622961
22,64,0.0009909 ,0.0009966 ,148.6822727,6.49646616
23,66,0.0000000 ,0.0020218 ,157.3699493,7.007674694
24,68,0.0010252 ,0.0009990 ,171.5981154,7.376796007
25,70,0.0010257 ,0.0010014 ,173.5834005,7.697840214
26,72,0.0009975 ,0.0019982 ,184.8004651,8.132034302
27,74,0.0009978 ,0.0019975 ,196.5769,8.686408281
28,76,0.0009992 ,0.0019925 ,210.5823426,9.231326818
29,78,0.0010269 ,0.0019934 ,220.0996008,9.731197596
30,80,0.0009971 ,0.0019944 ,227.9351721,9.982960463
31,82,0.0009983 ,0.0019939 ,242.2786589,10.54477692
32,84,0.0009978 ,0.0009959 ,255.1057031,11.13459706
33,86,0.0010254 ,0.0019944 ,268.1294236,11.76636386
34,88,0.0010312 ,0.0019920 ,279.8397014,12.35436964
35,90,0.0010328 ,0.0029898 ,290.3555615,12.6518414
36,92,0.0009971 ,0.0029914 ,304.7277851,13.33719659
37,94,0.0010271 ,0.0019984 ,314.4047017,13.95912957
38,96,0.0009677 ,0.0029914 ,340.4804516,14.52017355
39,98,0.0009975 ,0.0029929 ,350.5220058,15.35103416
