,N,t
0,20,15.500535011291504
1,22,18.47297763824463
2,24,24.141326904296875
3,26,29.703048706054688
4,28,32.22000288963318
5,30,33.74934244155884
6,32,38.79235577583313
7,34,44.84107804298401
8,36,50.87835669517517
9,38,57.37841844558716
10,40,60.250072956085205
11,42,67.99292755126953
12,44,76.68621873855591
13,46,81.61068439483643
14,48,95.60293221473694
15,50,94.39862728118896
16,52,104.37354969978333
17,54,111.8156065940857
18,56,123.26394605636597
19,58,133.03256225585938
20,60,135.27285265922546
21,62,148.6232829093933
22,64,158.5992934703827
23,66,167.66348361968994
24,68,184.38731598854065
25,70,187.3163034915924
26,72,201.81034755706787
27,74,211.69238996505737
28,76,223.76029920578003
29,78,238.4510853290558
30,80,247.33236026763916
31,82,259.00345849990845
32,84,273.9668598175049
33,86,289.59017872810364
34,88,301.43164587020874
35,90,8539.843033313751
36,92,325.12035155296326
37,94,344.03666281700134
38,96,362.81196451187134
39,98,377.54935789108276
